name,ID
Account Discovery,T1087
Application Window Discovery,T1010
Browser Bookmark Discovery,T1217
Domain Trust Discovery,T1482
File and Directory Discovery,T1083
Network Service Scanning,T1046
Network Share Discovery,T1135
Network Sniffing,T1040
Password Policy Discovery,T1201
Peripheral Device Discovery,T1120
Permission Groups Discovery,T1069
Process Discovery,T1057
Query Registry,T1012
Remote System Discovery,T1018
Security Software Discovery,T1063
System Information Discovery,T1082
System Network Configuration Discovery,T1016
System Network Connections Discovery,T1049
System Owner/User Discovery,T1033
System Service Discovery,T1007
System Time Discovery,T1124
Virtualization/Sandbox Evasion,T1497
