name,ID
.bash_profile and .bashrc,T1156
Accessibility Features,T1015
Account Manipulation,T1098
AppCert DLLs,T1182
AppInit DLLs,T1103
Application Shimming,T1138
Authentication Package,T1131
BITS Jobs,T1197
Bootkit,T1067
Browser Extensions,T1176
Change Default File Association,T1042
Component Firmware,T1109
Component Object Model Hijacking,T1122
Create Account,T1136
DLL Search Order Hijacking,T1038
Dylib Hijacking,T1157
External Remote Services,T1133
File System Permissions Weakness,T1044
Hidden Files and Directories,T1158
Hooking,T1179
Hypervisor,T1062
Image File Execution Options Injection,T1183
Kernel Modules and Extensions,T1215
Launch Agent,T1159
Launch Daemon,T1160
Launchctl,T1152
LC_LOAD_DYLIB Addition,T1161
Local Job Scheduling,T1168
Login Item,T1162
Logon Scripts,T1037
LSASS Driver,T1177
Modify Existing Service,T1031
Netsh Helper DLL,T1128
New Service,T1050
Office Application Startup,T1137
Path Interception,T1034
Plist Modification,T1150
Port Knocking,T1205
Port Monitors,T1013
Rc.common,T1163
Re-opened Applications,T1164
Redundant Access,T1108
Registry Run Keys / Startup Folder,T1060
Scheduled Task,T1053
Screensaver,T1180
Security Support Provider,T1101
Service Registry Permissions Weakness,T1058
Setuid and Setgid,T1166
Shortcut Modification,T1023
SIP and Trust Provider Hijacking,T1198
Startup Items,T1165
System Firmware,T1019
Systemd Service,T1501
Time Providers,T1209
Trap,T1154
Valid Accounts,T1078
Web Shell,T1100
Windows Management Instrumentation Event Subscription,T1084
Winlogon Helper DLL,T1004
